2024-10-17 at 01:18 | INFO | Запись не найдена по фильтрам: {'id': 805550691}
2024-10-17 at 01:18 | INFO | Добавление записи Student с параметрами: {'id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 01:18 | INFO | Запись Student успешно добавлена.
2024-10-17 at 01:20 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 0}
2024-10-17 at 01:20 | INFO | Запись не найдена по фильтрам: {'tg_id': 0}
2024-10-17 at 01:20 | INFO | Поиск одной записи Student по фильтрам: {'id': 0}
2024-10-17 at 01:20 | INFO | Запись не найдена по фильтрам: {'id': 0}
2024-10-17 at 01:20 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:20 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:20 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 01:20 | INFO | Запись найдена по фильтрам: {'id': 805550691}
2024-10-17 at 01:21 | INFO | Бот успешно запущен.
2024-10-17 at 01:21 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:21 | INFO | Запись не найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:21 | INFO | Добавление записи User с параметрами: {'tg_id': 741185494, 'username': 'fukkacum1', 'first_name': 'fukkacumi.', 'last_name': None}
2024-10-17 at 01:21 | INFO | Запись User успешно добавлена.
2024-10-17 at 01:21 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:21 | INFO | Запись найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:21 | INFO | Бот остановлен.
2024-10-17 at 01:22 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:22 | INFO | Запись найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:22 | INFO | Поиск одной записи Student по фильтрам: {'id': 741185494}
2024-10-17 at 01:22 | INFO | Запись не найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:22 | INFO | Добавление записи NonStudent с параметрами: {'id': 741185494, 'passport': '4408 123333'}
2024-10-17 at 01:22 | INFO | Запись NonStudent успешно добавлена.
2024-10-17 at 01:22 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:22 | INFO | Запись найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:22 | INFO | Поиск одной записи Student по фильтрам: {'id': 741185494}
2024-10-17 at 01:22 | INFO | Запись не найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:22 | INFO | Добавление записи NonStudent с параметрами: {'id': 741185494, 'passport': '4408 123333'}
2024-10-17 at 01:22 | INFO | Запись NonStudent успешно добавлена.
2024-10-17 at 01:25 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:25 | INFO | Запись найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:25 | INFO | Поиск одной записи Student по фильтрам: {'id': 741185494}
2024-10-17 at 01:25 | INFO | Запись не найдена по фильтрам: {'id': 741185494}
